segment,start,finish,mean,sigma
758,51821,51905,851.959,5018.04
759,51906,51943,705.813,2430.48
760,51944,52001,920.988,8940.61
761,52002,52034,967.568,1575.94
762,52035,52076,944.011,675.672
763,52077,52117,817.647,1585.76
764,52118,52205,925.516,2928.23
765,52206,52229,843.751,2531.66
766,52230,52252,946.672,242.243
767,52253,52495,897.121,588.172
768,52496,52626,877.029,729.232
769,52627,52651,852.189,442.109
770,52652,52684,926.374,408.345
771,52685,52742,881.197,785.456
772,52743,52787,746.233,3624.67
773,52788,52808,1027.9,534.524
774,52809,52845,966.64,883.828
775,52846,52867,943.538,505.362
776,52868,52904,1004.68,2538.36
777,52905,52927,974.526,189.853
778,52928,53063,937.903,464.162
779,53064,53093,903.648,359.192
780,53094,53128,935.046,900.353
781,53129,53156,775.113,1077.61
782,53157,53177,870.165,5208.94
783,53178,53238,955.688,491.808
784,53239,53274,917.32,301.281
785,53275,53313,787.538,6995.92
786,53314,53493,939.975,3549.93
787,53494,53686,968.508,525.734
788,53687,54252,937.321,1406.58
789,54253,54321,924.694,732.611
790,54322,54443,938.014,1744.01
791,54444,54545,922.106,364.344
792,54546,54767,904.069,916.529
793,54768,54788,750.076,882.923
794,54789,54820,673.896,3477.35
795,54821,54842,1004.62,387.439
796,54843,54879,941.513,551.405
797,54880,54949,914.845,350.56
798,54950,54985,903.864,149.351
799,54986,55129,934.246,306.886
800,55130,55166,792.02,2418.85
801,55167,55238,909.289,8970.51
802,55239,55260,995.03,427.517
803,55261,55298,951.071,345.365
804,55299,55371,966.076,349.61
805,55372,55395,809.246,3162.72
806,55396,55440,1012.85,657.921
807,55441,55484,968.574,342.055
808,55485,55509,759.064,2531.28
809,55510,55552,928.599,7921.78
810,55553,55582,1012.5,958.004
811,55583,55629,811.248,6758.84
812,55630,56229,941.349,2625.86
813,56230,56747,905.452,2339.12
814,56748,56901,930.044,2351.56
815,56902,56936,975.223,288.941
816,56937,56996,942.058,426.822
817,56997,57021,963.751,192.679
818,57022,57042,926.34,357.48
819,57043,57068,767.43,782.793
820,57069,57186,937.369,2167
821,57187,57224,893.711,3060.18
822,57225,57415,944.332,2299.07
823,57416,57708,963.445,1907.55
824,57709,58056,993.468,975.108
825,58057,58078,861.507,3500.35
826,58079,58779,975.304,3271.76
827,58780,58828,768.496,4210.65
828,58829,58856,1039.62,6672.81
829,58857,58911,973.297,2537.88
830,58912,58947,930.991,2655.87
831,58948,59028,1001.93,740.864
